case_id,fraud_type,case_title,modus_operandi,fraud_pattern,investigation_summary,entities_involved,risk_indicators,resolution,regulatory_reference,created_at
FC-10010,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-10,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 10.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1010,2025-06-01 12:00:00
FC-10011,Account Takeover,Account Takeover Ring Alpha-11,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 11.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1011,2025-06-01 12:00:00
FC-10012,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-12,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 12.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1012,2025-06-01 12:00:00
FC-10013,Mule Account Network,Mule Account Network Ring Alpha-13,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 13.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1013,2025-06-01 12:00:00
FC-10014,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-14,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 14.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1014,2025-06-01 12:00:00
FC-10015,Mule Account Network,Mule Account Network Ring Alpha-15,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 15.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1015,2025-06-01 12:00:00
FC-10016,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-16,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 16.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1016,2025-06-01 12:00:00
FC-10017,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-17,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 17.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1017,2025-06-01 12:00:00
FC-10018,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-18,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 18.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1018,2025-06-01 12:00:00
FC-10019,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-19,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 19.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1019,2025-06-01 12:00:00
FC-10020,Account Takeover,Account Takeover Ring Alpha-20,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 20.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1020,2025-06-01 12:00:00
FC-10021,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-21,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 21.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1021,2025-06-01 12:00:00
FC-10022,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-22,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 22.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1022,2025-06-01 12:00:00
FC-10023,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-23,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 23.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1023,2025-06-01 12:00:00
FC-10024,Mule Account Network,Mule Account Network Ring Alpha-24,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 24.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1024,2025-06-01 12:00:00
FC-10025,Mule Account Network,Mule Account Network Ring Alpha-25,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 25.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1025,2025-06-01 12:00:00
FC-10026,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-26,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 26.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1026,2025-06-01 12:00:00
FC-10027,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-27,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 27.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1027,2025-06-01 12:00:00
FC-10028,Account Takeover,Account Takeover Ring Alpha-28,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 28.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1028,2025-06-01 12:00:00
FC-10029,Mule Account Network,Mule Account Network Ring Alpha-29,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 29.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1029,2025-06-01 12:00:00
FC-10030,Account Takeover,Account Takeover Ring Alpha-30,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 30.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1030,2025-06-01 12:00:00
FC-10031,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-31,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 31.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1031,2025-06-01 12:00:00
FC-10032,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-32,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 32.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1032,2025-06-01 12:00:00
FC-10033,Mule Account Network,Mule Account Network Ring Alpha-33,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 33.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1033,2025-06-01 12:00:00
FC-10034,Account Takeover,Account Takeover Ring Alpha-34,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 34.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1034,2025-06-01 12:00:00
FC-10035,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-35,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 35.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1035,2025-06-01 12:00:00
FC-10036,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-36,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 36.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1036,2025-06-01 12:00:00
FC-10037,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-37,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 37.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1037,2025-06-01 12:00:00
FC-10038,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-38,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 38.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1038,2025-06-01 12:00:00
FC-10039,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-39,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 39.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1039,2025-06-01 12:00:00
FC-10040,Mule Account Network,Mule Account Network Ring Alpha-40,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 40.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1040,2025-06-01 12:00:00
FC-10041,Account Takeover,Account Takeover Ring Alpha-41,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 41.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1041,2025-06-01 12:00:00
FC-10042,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-42,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 42.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1042,2025-06-01 12:00:00
FC-10043,Mule Account Network,Mule Account Network Ring Alpha-43,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 43.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1043,2025-06-01 12:00:00
FC-10044,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-44,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 44.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1044,2025-06-01 12:00:00
FC-10045,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-45,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 45.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1045,2025-06-01 12:00:00
FC-10046,Mule Account Network,Mule Account Network Ring Alpha-46,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 46.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1046,2025-06-01 12:00:00
FC-10047,Mule Account Network,Mule Account Network Ring Alpha-47,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 47.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1047,2025-06-01 12:00:00
FC-10048,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-48,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 48.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1048,2025-06-01 12:00:00
FC-10049,Mule Account Network,Mule Account Network Ring Alpha-49,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 49.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1049,2025-06-01 12:00:00
FC-10050,Mule Account Network,Mule Account Network Ring Alpha-50,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 50.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1050,2025-06-01 12:00:00
FC-10051,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-51,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 51.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1051,2025-06-01 12:00:00
FC-10052,Mule Account Network,Mule Account Network Ring Alpha-52,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 52.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1052,2025-06-01 12:00:00
FC-10053,Mule Account Network,Mule Account Network Ring Alpha-53,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 53.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1053,2025-06-01 12:00:00
FC-10054,Account Takeover,Account Takeover Ring Alpha-54,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 54.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1054,2025-06-01 12:00:00
FC-10055,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-55,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 55.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1055,2025-06-01 12:00:00
FC-10056,Mule Account Network,Mule Account Network Ring Alpha-56,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 56.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1056,2025-06-01 12:00:00
FC-10057,Mule Account Network,Mule Account Network Ring Alpha-57,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 57.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1057,2025-06-01 12:00:00
FC-10058,Account Takeover,Account Takeover Ring Alpha-58,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 58.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1058,2025-06-01 12:00:00
FC-10059,Mule Account Network,Mule Account Network Ring Alpha-59,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 59.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1059,2025-06-01 12:00:00
FC-10060,Account Takeover,Account Takeover Ring Alpha-60,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 60.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1060,2025-06-01 12:00:00
FC-10061,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-61,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 61.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1061,2025-06-01 12:00:00
FC-10062,Mule Account Network,Mule Account Network Ring Alpha-62,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 62.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1062,2025-06-01 12:00:00
FC-10063,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-63,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 63.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1063,2025-06-01 12:00:00
FC-10064,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-64,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 64.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1064,2025-06-01 12:00:00
