case_id,fraud_type,case_title,modus_operandi,fraud_pattern,investigation_summary,entities_involved,risk_indicators,resolution,regulatory_reference,created_at
CASE00017,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #17,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 17.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1017,2026-06-08 12:00:00
CASE00018,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #18,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 18.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1018,2026-06-08 12:00:00
CASE00019,Mule Account Network,Mule Account Network Investigation Ring #19,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 19.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1019,2026-06-08 12:00:00
CASE00020,Mule Account Network,Mule Account Network Investigation Ring #20,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 20.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1020,2026-06-08 12:00:00
CASE00021,Mule Account Network,Mule Account Network Investigation Ring #21,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 21.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1021,2026-06-08 12:00:00
CASE00022,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #22,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 22.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1022,2026-06-08 12:00:00
CASE00023,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #23,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 23.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1023,2026-06-08 12:00:00
CASE00024,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #24,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 24.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1024,2026-06-08 12:00:00
CASE00025,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #25,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 25.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1025,2026-06-08 12:00:00
CASE00026,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #26,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 26.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1026,2026-06-08 12:00:00
CASE00027,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #27,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 27.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1027,2026-06-08 12:00:00
CASE00028,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #28,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 28.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1028,2026-06-08 12:00:00
CASE00029,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #29,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 29.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1029,2026-06-08 12:00:00
CASE00030,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #30,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 30.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1030,2026-06-08 12:00:00
CASE00031,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #31,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 31.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1031,2026-06-08 12:00:00
CASE00032,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #32,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 32.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1032,2026-06-08 12:00:00
CASE00033,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #33,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 33.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1033,2026-06-08 12:00:00
CASE00034,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #34,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 34.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1034,2026-06-08 12:00:00
CASE00035,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #35,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 35.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1035,2026-06-08 12:00:00
CASE00036,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #36,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 36.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1036,2026-06-08 12:00:00
CASE00037,Mule Account Network,Mule Account Network Investigation Ring #37,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 37.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1037,2026-06-08 12:00:00
CASE00038,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #38,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 38.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1038,2026-06-08 12:00:00
CASE00039,Mule Account Network,Mule Account Network Investigation Ring #39,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 39.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1039,2026-06-08 12:00:00
CASE00040,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #40,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 40.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1040,2026-06-08 12:00:00
CASE00041,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #41,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 41.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1041,2026-06-08 12:00:00
CASE00042,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #42,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 42.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1042,2026-06-08 12:00:00
CASE00043,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #43,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 43.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1043,2026-06-08 12:00:00
CASE00044,Mule Account Network,Mule Account Network Investigation Ring #44,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 44.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1044,2026-06-08 12:00:00
CASE00045,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #45,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 45.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1045,2026-06-08 12:00:00
CASE00046,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #46,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 46.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1046,2026-06-08 12:00:00
CASE00047,Mule Account Network,Mule Account Network Investigation Ring #47,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 47.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1047,2026-06-08 12:00:00
CASE00048,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #48,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 48.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1048,2026-06-08 12:00:00
CASE00049,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #49,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 49.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1049,2026-06-08 12:00:00
CASE00050,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #50,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 50.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1050,2026-06-08 12:00:00
CASE00051,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #51,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 51.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1051,2026-06-08 12:00:00
CASE00052,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #52,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 52.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1052,2026-06-08 12:00:00
CASE00053,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #53,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 53.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1053,2026-06-08 12:00:00
CASE00054,Mule Account Network,Mule Account Network Investigation Ring #54,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 54.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1054,2026-06-08 12:00:00
CASE00055,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #55,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 55.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1055,2026-06-08 12:00:00
CASE00056,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #56,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 56.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1056,2026-06-08 12:00:00
CASE00057,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #57,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 57.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1057,2026-06-08 12:00:00
CASE00058,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #58,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 58.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1058,2026-06-08 12:00:00
CASE00059,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #59,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 59.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1059,2026-06-08 12:00:00
CASE00060,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #60,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 60.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1060,2026-06-08 12:00:00
CASE00061,Mule Account Network,Mule Account Network Investigation Ring #61,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 61.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1061,2026-06-08 12:00:00
CASE00062,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #62,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 62.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1062,2026-06-08 12:00:00
CASE00063,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #63,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 63.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1063,2026-06-08 12:00:00
